time,rank,symbol,name,price,chg,chg_pct,open,prev,volume,amount
11:10,23,2313,華通,341.5,40.5,10.88,348.5,308.0,74045,245.3214
11:10,24,2369,菱生,61.8,3.7,3.00,63.7,60.0,71623,44.3827
11:10,25,6239,力成,24.1,0.7,2.99,24.1,23.4,63916,15.2519
11:10,26,0050,元大台灣50,102.5,5.2,4.81,103.0,97.8,61631,61.7573
11:10,27,2481,強茂,284.0,16.5,0.53,299.0,282.5,60576,175.3582
11:10,28,2301,光寶科,18.76,0.45,1.19,18.99,18.54,57122,10.7171
11:10,29,00878,國泰永續高股息,37.7,1.05,2.86,37.7,36.65,56589,21.2210
11:10,30,4919,新唐,342.0,16.5,5.07,342.0,325.5,55392,188.9961
11:10,31,3042,晶技,100.75,1.5,0.45,101.8,100.3,55379,55.9244
11:10,32,00891,中信關鍵半導體,10.75,0.16,1.22,10.78,10.62,54645,5.8495
11:10,33,2367,燿華,147.0,11.5,8.49,147.0,135.5,50808,71.7674
11:10,34,2317,鴻海,237.0,17.5,5.80,241.5,224.0,50204,117.2005
11:10,35,00929,復華台灣科技優息,110.5,6.0,2.31,114.0,108.0,50178,55.8604
11:10,36,4906,正文,19.26,0.39,1.05,19.45,19.06,48528,9.3511
11:10,37,3189,景碩,29.64,0.35,0.54,29.83,29.48,47565,14.1004
11:10,38,3576,聯合再生,23.97,0.38,1.14,24.08,23.7,44153,10.5638
11:10,39,2484,希華,214.0,24.0,3.88,230.0,206.0,41667,91.0657
11:10,40,00940,元大台灣價值高息,199.0,30.0,9.34,212.0,182.0,41662,83.3472
11:10,41,6443,元晶,260.5,17.5,7.20,260.5,243.0,40901,105.0529
11:10,42,8150,南茂,35.18,0.64,0.74,35.56,34.92,40545,14.3006
11:10,43,8110,華東,10.64,0.17,0.47,10.76,10.59,39314,4.1915
11:10,44,0056,元大高股息,66.4,4.1,0.45,70.2,66.1,37636,25.4071
11:10,45,3149,正達,258.5,6.5,0.58,263.5,257.0,37244,96.8981
11:10,46,4927,泰鼎-KY,100.5,5.8,6.12,100.5,94.7,35702,35.0614
11:10,47,9105,泰金寶-DR,29.2,0.49,0.79,29.46,28.97,35055,10.2615
11:10,48,2618,長榮航,42.8,2.45,1.90,44.45,42.0,34500,14.7838
11:10,49,2883,凱基金,14.58,0.28,0.83,14.74,14.46,34191,4.9973
11:10,50,1513,中興電,682.0,53.0,4.28,707.0,654.0,33996,231.2722
11:10,51,3711,日月光投控,18.9,1.9,0.27,20.75,18.85,33747,6.6488
11:10,52,1605,華新,53.1,6.0,5.36,56.4,50.4,33019,17.7514
11:10,53,2880,華南金,11.77,0.1,0.26,11.84,11.74,32953,3.8861
11:10,54,2014,中鴻,42.65,3.4,0.83,45.7,42.3,32948,14.4439
11:10,55,4526,東台,87.1,4.3,3.94,88.1,83.8,32851,28.4026
11:10,56,3673,TPK-KY,21.63,0.55,2.03,21.75,21.2,32449,6.9623
11:10,57,4958,臻鼎-KY,54.8,5.0,9.38,55.1,50.1,31760,16.8458
11:10,58,2027,大成鋼,48.44,0.64,0.60,48.79,48.15,31049,15.0443
11:10,59,3714,富采,19.26,0.4,0.78,19.51,19.11,31016,5.9836
11:10,60,2382,廣達,65.8,6.1,6.47,67.9,61.8,29799,19.2710
11:10,61,1402,遠東新,60.5,6.2,1.34,65.9,59.7,29097,18.1902
11:10,62,3231,緯創,8.16,0.0,0.00,8.16,8.16,29088,2.3736
11:10,63,2485,兆赫,35.7,0.6,0.71,36.05,35.45,28208,10.0866
11:10,64,2610,華航,21.8,0.25,1.16,21.8,21.55,28197,6.1197
11:10,65,2891,中信金,165.5,8.0,0.91,172.0,164.0,27734,46.5299
11:10,66,2882,國泰金,608.0,46.0,3.05,636.0,590.0,27351,167.0178
11:10,67,2884,玉山金,14.73,0.02,0.07,14.74,14.72,27178,4.0030
11:10,68,2890,永豐金,37.15,1.25,0.27,38.3,37.05,26489,9.9369
11:10,69,2441,超豐,31.2,0.6,1.13,31.45,30.85,25822,8.0356
11:10,70,1717,長興,18.6,1.35,1.92,19.6,18.25,25691,4.8737
11:10,71,3037,欣興,44.35,3.9,9.64,44.35,40.45,24734,10.5904
11:10,72,2377,微星,87.4,2.2,2.58,87.4,85.2,24615,21.4465
11:10,73,1101,台泥,526.0,23.0,1.94,539.0,516.0,24282,128.3732
11:10,74,2402,毅嘉,41.8,3.25,0.72,44.75,41.5,23985,10.1981
11:10,75,2892,第一金,77.3,3.7,0.26,80.8,77.1,22309,17.5143
11:15,1,3481,群創,45.8,6.95,1.22,52.2,45.25,1120000,541.5735
11:15,2,2409,友達,22.0,3.8,0.00,25.8,22.0,738736,170.3814
11:15,3,6116,彩晶,10.6,0.28,1.15,10.76,10.48,441260,46.7767
